Schlüssel;Straftat;erfasste Fälle;Jahr
223100;Misshandlung von Kindern;3758;2020
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;373206;2020
225000;Fahrlässige Körperverletzung § 229 StGB;21419;2020
230000;Straftaten gegen die persönliche Freiheit §§ 232-233a, 234, 235, 236, 237, 238-239b, 240, 241, 316c StGB;202303;2020
231000;Menschenraub, Entziehung Minderjähriger, Kinderhandel §§ 234, 235, 236 StGB;1558;2020
231100;Menschenraub § 234 StGB;5;2020
231200;Entziehung Minderjähriger § 235 StGB;1540;2020
231210;Entziehung Minderjähriger gegen Entgelt oder in Bereicherungsabsicht § 235 Abs. 4 Nr. 2 StGB;14;2020
231279;Sonstige Entziehung Minderjähriger § 235 StGB;1526;2020
231300;Kinderhandel § 236 StGB;13;2020
232000;Zwangsheirat, Nachstellung (Stalking), Freiheitsberaubung, Nötigung, Bedrohung §§ 237, 238, 239, 240, 241 StGB;200108;2020
232100;Freiheitsberaubung § 239 StGB;4487;2020
232200;Nötigung § 240 StGB;69467;2020
232201;Nötigung im Straßenverkehr § 240 Abs. 1 StGB;31641;2020
232279;Sonstige Nötigung § 240 Abs. 1 und 4 StGB;37826;2020
232300;Bedrohung § 241 StGB;106411;2020
232400;Nachstellung (Stalking) § 238 StGB;19666;2020
232410;Nachstellung (Stalking) § 238, Abs. 1 StGB;19474;2020
232420;Nachstellung (Stalking) § 238, Abs. 2 StGB;181;2020
232430;Nachstellung (Stalking) § 238, Abs. 3 StGB;11;2020
232500;Zwangsheirat § 237 StGB;77;2020
233000;Erpresserischer Menschenraub § 239a StGB;73;2020
233079;Sonstiger erpresserischer Menschenraub;72;2020
233100;Erpresserischer Menschenraub i.V.m. Raubüberfall auf Geldinstitute, Postfilialen und -agenturen;1;2020
233200;Erpresserischer Menschenraub i.V.m. Raubüberfall auf sonstige Kassenräume und Geschäfte;0;2020
233300;Erpresserischer Menschenraub i.V.m. Raubüberfall auf Geld- und Werttransporte;0;2020
234000;Geiselnahme § 239b StGB;30;2020
234079;Sonstige Geiselnahme;30;2020
234100;Geiselnahme i.V.m. Raubüberfall auf Geldinstitute, Postfilialen und -agenturen;0;2020
234200;Geiselnahme i.V.m. Raubüberfall auf sonstige Kassenräume und Geschäfte;0;2020
234300;Geiselnahme i.V.m. Raubüberfall auf Geld- und Werttransporte;0;2020
235000;Angriff auf den Luft- und Seeverkehr § 316c StGB;0;2020
239000;Menschenhandel, Zwangsprostitution, Zwangsarbeit, Ausbeutung der Arbeitskraft und Ausbeutung unter Ausnutzung einer Freiheitsberaubung §§ 232, 232a, 232b, 233, 233a StGB;534;2020
239100;Menschenhandel § 232 StGB;230;2020
239110;Handel zum Zweck der Ausbeutung bei Ausübung der Prostitution, der Vornahme sexueller Handlungen § 232 Abs. 1 Nr. 1a. Abs. 2 in Bezug auf Abs. 1 Nr. 1a, Abs. 3 Nr. 1 bis 3 in Bezug auf Abs. 1 Nr. 1a, Abs. 4 in Bezug auf Abs. 1 Nr. 1a StGB;178;2020
239120;Handel zum Zweck der Ausbeutung bei Ausübung der Prostitution, der Vornahme sexueller Handlungen § 232 Abs. 1 Nr. 1a, Abs. 2 in Bezug auf Abs. 1 Nr. 1a, Abs. 3 Nr. 1 bis 3 in Bezug auf Abs. 1 Nr. 1a, Abs. 4 in Bezug auf Abs. 1 Nr. 1a StGB;34;2020
239130;Handel zum Zweck der Ausbeutung bei der Ausübung der Bettelei § 232 Abs. 1 Nr. 1 c), Abs. 2 in Bezug auf Abs. 1 Nr. 1 c), Abs. 3 Nr. 1 bis 3 in Bezug auf Abs. 1 Nr. 1c), Abs. 4 in Bezug auf Abs. 1 Nr. 1c) StGB;5;2020
239140;Handel zum Zweck der Ausbeutung bei der Begehung von mit Strafe bedrohten Handlungen § 232 StGB Abs. 1 Nr. 1d), Abs. 2 in Bezug auf Abs. 1 Nr. 1d), Abs. 3 Nr. 1 bis 3 in Bezug auf Abs. 1, Nr. 1d), Abs. 4 in Bezug auf Abs. 1 Nr. 1d) StGB;13;2020
239150;Handel zum Zweck des Haltens einer Person in Sklaverei, Leibeigenschaft, Schuldknechtschaft o.ä. § 232 Abs. 1 Nr. 2, Abs. 2 in Bezug auf Abs. 1 Nr. 2, Abs. 3 Nr. 1 bis 3 in Bezug auf Abs. 1 Nr. 2, Abs. 4 in Bezug auf Abs. 1 Nr. 2 StGB;0;2020
