Schlüssel;Straftat;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember;Jahr
212010;Raub auf sonstige Zahlstellen oder Geschäfte § 249 StGB;16;24;19;13;13;10;15;17;12;13;22;16;2017
212020;Schwerer Raub auf sonstige Zahlstellen oder Geschäfte § 250 StGB;92;122;106;63;69;67;54;54;42;49;70;72;2017
212030;Raub mit Todesfolge auf sonstige Zahlstellen oder Geschäfte § 251 StGB;0;0;0;0;0;0;0;0;0;0;0;0;2017
212050;Räuberische Erpressung gegen sonstige Zahlstellen oder Geschäfte § 255 StGB;66;53;51;30;27;36;30;40;43;36;40;41;2017
212100;Raub, räuberische Erpressung auf/gegen Spielhallen;64;67;50;29;49;37;34;35;43;27;44;41;2017
212110;Raub auf Spielhallen § 249 StGB;11;5;6;6;8;2;6;6;6;3;6;10;2017
212120;Schwerer Raub auf Spielhallen § 250 StGB;27;45;27;18;24;21;19;18;22;14;29;18;2017
212130;Raub mit Todesfolge auf Spielhallen § 251 StGB;0;0;0;0;0;0;0;0;0;0;0;0;2017
212150;Räuberische Erpressung gegen Spielhallen § 255 StGB;26;17;17;5;17;14;9;11;15;10;9;13;2017
212200;Raub, räuberische Erpressung auf/gegen Tankstellen;62;68;57;50;41;32;31;42;43;52;61;70;2017
212210;Raub auf Tankstellen § 249 StGB;3;3;2;5;1;9;3;5;1;7;8;5;2017
212220;Schwerer Raub auf Tankstellen § 250 StGB;32;49;27;29;22;14;20;24;23;23;20;37;2017
212230;Raub mit Todesfolge auf Tankstellen § 251 StGB;0;0;0;0;0;0;0;0;0;0;0;0;2017
212250;Räuberische Erpressung gegen Tankstellen § 255 StGB;27;16;28;16;18;9;8;13;19;22;33;28;2017
213000;Raub, räuberische Erpressung auf/gegen Geld- und Werttransporte;11;4;7;7;4;7;5;4;3;4;3;4;2017
213100;Raub, räuberische Erpressung auf/gegen Geld- und Kassenboten;11;4;6;6;4;7;5;3;3;3;3;4;2017
213110;Raub auf Geld- und Kassenboten § 249 StGB;4;0;3;1;2;2;3;2;1;0;2;1;2017
213120;Schwerer Raub auf Geld- und Kassenboten § 250 StGB;4;3;2;3;1;5;1;0;1;3;1;3;2017
213130;Raub mit Todesfolge auf Geld- und Kassenboten § 251 StGB;0;0;0;0;0;0;0;0;0;0;0;0;2017
213150;Räuberische Erpressung gegen Geld- und Kassenboten § 255 StGB;3;1;1;2;1;0;1;1;1;0;0;0;2017
213200;Raub, räuberische Erpressung auf/gegen Spezialgeldtransportfahrzeuge;0;0;1;1;0;0;0;1;0;1;0;0;2017
213210;Raub auf Spezialgeldtransportfahrzeuge § 249 StGB;0;0;0;1;0;0;0;1;0;0;0;0;2017
213220;Schwerer Raub auf Spezialgeldtransportfahrzeuge § 250 StGB;0;0;1;0;0;0;0;0;0;1;0;0;2017
213230;Raub mit Todesfolge auf Spezialgeldtransportfahrzeuge § 251 StGB;0;0;0;0;0;0;0;0;0;0;0;0;2017
213250;Räuberische Erpressung gegen Spezialgeldtransportfahrzeuge § 255 StGB;0;0;0;0;0;0;0;0;0;0;0;0;2017
214000;Räuberischer Angriff auf Kraftfahrer § 316a StGB;18;17;13;20;18;14;16;12;14;23;12;9;2017
214079;Räuberischer Angriff auf sonstige Kraftfahrer;7;8;9;9;14;9;13;6;9;11;6;6;2017
